Time       moves_acc moves_gen     F(Q)_1     Bragg   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01
052211.756      237710      612430  0.851E-02  0.304E-02  0.548E-02
053211.924      238285      613994  0.851E-02  0.304E-02  0.548E-02
054211.605      238841      615552  0.850E-02  0.303E-02  0.548E-02
055211.906      239393      617102  0.850E-02  0.303E-02  0.547E-02
060211.728      239960      618627  0.850E-02  0.302E-02  0.546E-02
061211.999      240518      620170  0.832E-02  0.302E-02  0.513E-02
062211.884      241048      621651  0.850E-02  0.301E-02  0.545E-02
063211.654      241575      623178  0.850E-02  0.301E-02  0.545E-02
064211.773      242115      624709  0.850E-02  0.301E-02  0.544E-02
065211.767      242666      626288  0.850E-02  0.300E-02  0.543E-02
070211.866      243217      627851  0.850E-02  0.300E-02  0.543E-02
071211.951      243775      629429  0.850E-02  0.299E-02  0.543E-02
072211.681      244333      630987  0.849E-02  0.299E-02  0.541E-02
073211.774      244951      632558  0.848E-02  0.300E-02  0.539E-02
074211.734      245527      634152  0.848E-02  0.300E-02  0.538E-02
075211.779      246106      635713  0.848E-02  0.300E-02  0.537E-02
080211.749      246653      637249  0.848E-02  0.299E-02  0.537E-02
081212.066      247208      638775  0.848E-02  0.299E-02  0.536E-02
082211.922      247732      640306  0.848E-02  0.298E-02  0.536E-02
083211.715      248294      641884  0.848E-02  0.298E-02  0.536E-02
084211.893      248840      643439  0.848E-02  0.297E-02  0.536E-02
085211.777      249369      644987  0.848E-02  0.297E-02  0.534E-02
090211.756      250013      646546  0.846E-02  0.298E-02  0.531E-02
091211.890      250576      648075  0.845E-02  0.299E-02  0.529E-02
092211.865      251134      649650  0.845E-02  0.300E-02  0.527E-02
093211.703      251688      651171  0.845E-02  0.299E-02  0.526E-02
